Name,Number2,Number,Address
Nalapaka Hotel,8023523108,9880334611,
Iyer Mess,8023343418,9886078290,
Vybhava,8026653198,,
Nithyothsav Restaurant,8041580000,9880999007,
Vaishali,8023368507,,
Dal Roti,8026493524,9448235118,
Sri Uphahar,8041223238,,
Aradhana,8032966669,,
Swathi Sagar,8026661558,,
Annapoorani Restaurant,8042036008,9035833673,
Bhavya Darshini,8026620931,,
Vidyarthi Bhavan,8026677588,,
New Shanthi Sagar,8023430332,,
Surya Dose Camp,9900947949,,
Rajvardhan,8026540132,9886303089,
Sri Sunder Lodge,8022385570,,
Tawa,9986663148,,
Sree Krishna Kafe,8041104345,9448111514,
Aiwas - Broast Chicken,9964235800,,
Jowar Bhakry,8022260088,,
New Sagar Fast Food And Restaurant,8041520189,,
Sathkar,8025228165,,
Sri Sagar,8023112092,9886657250,
SLV Refreshments,8022242142,,
Sanman Vegetarian,8023301939,9448041939,
Uttara Karnataka Food Speciality Stores,9900938365,,
Manjunath Tiffin Room,8028399285,,
Gowri Shankar,8040155900,9591916267,
Kairali Restaurant,8025534034,9844034033,
Biryani Paradise,8041130498,8095806671,
Ganesha Dosa Camp,9243496459,,
Srinidhi Sagar,8025354689,,
Cafe Idly,9741999800,,
Vasudev Adiga's,8041107421,9845082689,
Sri Sunder Lodge,8022385570,,
The Golden Metro Vegetarians' Paradise,8040609111,9739990170,
Swadhistha Aahar,8026784597,9844006825,
Gullus Chaat,9845102389,,
Uttara Karnataka Food Speciality Stores,8023209840,9448261201,
Sri Ram Dev Sagar,8025267474,,
Chowka Restaurant,8040971000,9886653394,
Dim Sum,8064565969,9243015969,
Mandi,8026581432,9880493432,
New Shanti Sagar,8025354139,,
Hotel Janatha,8023345609,,
Sai Foods,9845405899,,
Sri Shanthi Sagar,8025491970,,
Madurai Idly Shop,8041288359,,
The Taamara Restaurant,8022254111,,
MTR,8040124843,,
Samosa Etc,9741780081,,
Shilpa Vegetarian,8025592625,,
Mini Punjabi Dhabha,9845044074,,
Usha Veg,8022106855,9900724354,
Shanthi Sagar,8023228205,,
Vasudev Adiga's,8041661687,9663031313,
Bobby's Dhaba,8069935021,9663678382,
Adithya,8042075642,,
Rasoi,9738019114,,
Calcutta Victoria Chaat,9902733312,,
Vasudev Adiga's,8041135857,8152062865,
Surya Refreshments,8023441919,,
The Urban Herbivore,8040400400,,
Shiv Sagar,,,
Davangere Benne Dosa,9845114198,,
Shiv Sagar,8022270894,9448464455,
Vasudev Adiga's,8041214065,9980056393,
Pizza Stop,9611471424,,
Uttara Dhruva,8040946019,9972092269,
Gokul Veg,8023423955,9845575555,
Shiv Sagar,8022067718,,
Sai Shakti Restaurant,8023360356,,
Bhagya Lakshmi Chats,9448015593,,
Smoking Chulha,9916350167,,
Shanthi Food Line,8025347086,9886993890,
Foodys,8022114040,,
New Shanthi Sagar,8041138138,9845310671,
Litti On Wheels,9980974187,,
Vasudev Adiga's,8028605959,,
Vasudev Adiga's,8023508280,,
Mathrusagar Restaurant,8032925559,,
Hotel Sri Saravana Bhavan,9738032795,,
Swad Punjabi Dhaba,8025298944,9611675808,
Shuchi Ruchi,9448804902,,
Hotel Sreenivasa Darshan,9663699938,,
Punjab Express,8065462295,9686548189,
Adigas Veg Restaurant,8022206261,9980192470,
Farm 2 Folks Restaurant,9483515944,,
Chings Just Take Away,8023339442,9844020658,
Satgurus Food Joint,8041178844,9945450889,
Revathi Fast Food,8026701570,,
Nazakar,9590371999,,
Nisarga Garden,9448261574,,
Prasidhi Fast Food Restaurant,8022453299,9448368659,
Murugan Idly Shop,,,
UpSouth,8041523434,9738620866,
New Shanthi Uphar,8022457357,,
Sri Ganesha Darshan,8023605306,,
Sudha Chats,9980348380,,
Sambhrama Restaurant,8022914186,,
Mathrusagar Restaurant,8032925559,,
Amaseena,9851604371,,
Pushp Raah,8026651487,9591228159,
Baba Chatkora,9538110008,,
Farm 2 Folks Restaurant,9483515944,,
RP Delicious,8041102227,,
JusBite.com,9008332211,,
Sanman,8026570065,,
Ganesh Bhavan,8023466396,,
Aarush's Food Plaza,9980740627,,
Sathkar Refreshments,8025228165,9845084655,
Sri Guru Nalapaka,8025610926,,
UpSouth,8041523434,9738620866,
Tiffany's,8041602808,,
Shrusti Veg Restaurant,8023509555,,
Saviruchi Food Point,8026918447,9343825179,
Goli Vada Pav,9535243243,,
Ugadi,8041470470,,
The Krishna Grand,8026711184,,
Gangothri Veg Restaurant,8025635060,,
Kamat Upachar,8026703813,,
Health Zingo,9019234758,,
Mulaquat Restaurant,8065673935,9379433912,
Moms Magic,9686920111,,
Tale Of Paratha,7829477497,,
Ruchi,8026570711,9632811133,
Rangrez Lounge,7411888095,,
Home Food,8025270553,9844113970,
Crystal Castle,8049008600,,
Akshaya Veg,8026629990,9886593999,
Sunheri,8022225111,,
Woodys Restaurant,8025582714,9980131111,
Hotel Savitha,8041475262,9972233343,
Ganesh Darshini,8028513632,9241739359,
Cosmohalli,8026580631,9880493432,
Back Water Seafood Restaurant,8040905525,9900668897,
Rajdhani Thali,8041647444,9886099229,
Annapoorna,8026706990,,
Akshaya Restaurant,8026703815,,
Shri Krishna Fast Food,8026645687,9945793566,
Shree Laxmi Darshini,,,
Skyline Restaurant,8026709519,9845362312,
Sri Malabar Restaurant,8022871451,,
Roti Sagar,9845770310,,
Sri Devi Refreshments,8026919226,,
Mayura Sagar,9972874440,,
Hotel Ganesh Darshini,8023565677,,
Hotel Rama Prasad,8022865890,,
Hotel Saravana Bhavan,8025987346,9901691972,
Just Bites,,,
Sri Durga Sandwich And Juice Centre,9731758778,,
Hotel Travancore,9980906675,,
Hotel Pachavati,8023114723,,
Mookambika Vegetarian,8025992724,,
Rasovara The Royal Kitchen,8022133400,9886060965,
North Indian Corner,8065679037,9343444646,
Namma Hotel,8022271252,,
Mane Thindi Restaurant,9986659249,,
Vandana Hotel,8026708293,,
Akshay Hotel,8025997861,9986045052,
Ganesh Vilas Restaurant,8026673169,,
Sri Ramkrishna Fast Food,9740159396,,
Sri Malabar Restaurant,8022871451,,
Annapurna Mess,9341321985,,
Hotel Ganesh Darshini,8023565677,,
Sri Ayodhya,8023480253,,
SLV Fast Food,8026602286,,
Just Bites,,,
Homely Gujarathi Food,9886360205,,
Hotel Travancore,9980906675,,
Hotel Pachavati,8023114723,,
Cafe Acharyaa,8026910467,,
Mookambika Vegetarian,8025992724,,
Chinese Corner,8065679037,,
Guru Darshan,8025914907,9845189510,
Hotel Mayura,8023524453,,
Adigas Veg Restaurant,8022243635,9845130936,
Ruchi Sagar,8025341307,,
Kakanje's Sweet Corn,9448495601,,
Annapoorna Hotel,8026703072,,
Ganesh Vilas Restaurant,8026673169,,
Shanti Sagar,8023604601,9611207076,
The Fast Food,8023346483,9343704231,
Roti Sagar,9845770310,,
Sri Devi Refreshments,8026919226,,
Sri Venkateshwara Tiffin Center,9980027334,,
Sri Guru Koteshwara Davanagere,9448305384,,
Hotel Ganesh Darshini,8023565677,,
Hotel Rama Prasad,8022865890,,
Sri Durga Sandwich And Juice Centre,9731758778,,
Homely Gujarathi Food,9886360205,,
Cafe Nagashree Restaurant,8023408217,,
Shreyas,9986698463,,
