Name,Address,Type,Number,asdsad,Number2,aNumbaaaer,,,,,,,,
BTW India Private Limited,"Jasola, Delhi","Fast Food,Snacks, Veg",9313641295,tel:9313641295,,,,,,,,,,
New Tara Hotel,"Karol Bagh, Delhi","Indian, North Indian, Veg",1128725196,tel:01128725196,"01128725196
														,

09311117677",tel:9311117677,,,,,,,,
Nandu Dhaba,"Zamrudpur, Delhi","Multi-cuisine, South Indian, Veg",9891919059,tel:9891919059,,,,,,,,,,
Karnataka,"Yusuf Sarai, Delhi","Multi-Cuisine,South Indian, Veg, Ticket Restaurant",1126511222,tel:01126511222,1126511222,,,,,,,,,
Jai Hind Parantha Bhawan,"Chandni Chowk, Delhi","North Indian, Veg",1122467219,tel:01122467219,"01122467219
														,

09891664131",tel:9891664131,,,,,,,,
O2 Just Have It,"Indra Puram, Ghaziabad","North Indian, Veg",9210244773,tel:9210244773,,,,,,,,,,
Sita Ram Dewan Chand,"Pahar Ganj, Delhi","Chhole Bhature, North Indian, Veg",1123586128,tel:01123586128,"01123586128
														,

09873417780",tel:9873417780,,,,,,,,
Nirula's,"Noida - Sector 38A, Noida","Fast Food, Veg",9953556528,tel:9953556528,,,,,,,,,,
Gulab Rewari,"Pitampura, Delhi","North Indian, Veg",1127312503,tel:01127312503,1127312503,,,,,,,,,
Karnataka Food Centre,"R K Puram Sector 12, Delhi","South Indian, Veg, Sodexo,Ticket Restaurant",1126187357,tel:01126187357,"01126187357
														,

09313370092",tel:9313370092,,,,,,,,
Raju Vaishno Dhaba,"East Of Kailash, Delhi","North Indian, Veg",1126289054,tel:01126289054,"01126289054
														,

09810671962",tel:9810671962,,,,,,,,
Sai Vaishno Dhaba,"Parwana Road, Delhi","Indian, Multi-cuisine, Veg",9250190446,tel:9250190446,,,,,,,,,,
Naivedyam Restaurant,"Hauz Khas Village, Delhi","South Indian, Veg, Sodexo,Ticket Restaurant",1126960426,tel:01126960426,"01126960426
														,

09811045046",tel:9811045046,,,,,,,,
Swad Junction,"Shiv Nagar, Delhi","Indian, Kebabs, Multi-cuisine, Non-Veg",9310512513,tel:9310512513,,,,,,,,,,
Nagpal Chholey Bhature,"Ashok Vihar Phase 1, Delhi","Street Food, Veg",1164696032,tel:01164696032,"01164696032
														,

09810216575",tel:9810216575,,,,,,,,
Natraj Dahi Bhalle Wala,"Chandni Chowk, Delhi","Chat, Veg",9811167400,tel:9811167400,,,,,,,,,,
Raju Chaat Bhandar,"Ashok Vihar Phase 1, Delhi","Chat, Veg",1127476901,tel:01127476901,"01127476901
														,

09350876277",tel:9350876277,,,,,,,,
