Name,resultSubTitle,Address,mar0 2,Number2,Number
Goli Vadapav,Restaurant,"Phugevadi, PCMC","Fast Food,Pav Bhaji, Veg",,
Marz-O-Rin,Restaurant,"Camp, PMC","Fast Food,Snacks, Veg",2026130774,9822479947
Swad Bhel,Restaurant,"Sadashiv Peth, PMC","Fast Food,Snacks, Veg",2024471591,
Crown Restaurant,Restaurant,"Khadki, PCMC","Multi-cuisine, North Indian, Veg",2025820786,
Divadkar Food,Restaurant,"Aundh, PMC","Multi-Cuisine,North Indian, Veg",2025896967,
Suruchi Fast Food,Restaurant,"Chinchwad, PCMC","Fast Food, Veg",2064001763,
Vikas Vihar Restaurant,Restaurant,"Narayangaon, PMC","Multi-cuisine, North Indian, Veg",2132244468,
Manohar Fast Food Parlour,Restaurant,"Erandwana, PMC","Fast Food, Veg",2025456745,9325380610
Aangan Fast Restaurant,Restaurant,"Karve Road, PMC","Fast Food, Veg",2025455101,
Prathmesh Fast Food Centre,Restaurant,"Talegaon Dabhade, PMC","Fast Food, Veg",2114231029,
Someshwar Bhavan,Restaurant,"Jangali Maharaj Road, PMC","Fast Food,Snacks, Veg",2025513141,
Savera Veg Restaurant,Restaurant,"Fergusson College Road, PMC","Multi-cuisine, North Indian, Veg",2025531395,
Supreme Corner,Restaurant,"Karve Road, PMC","Fast Food,Pizza, Veg",2025449579,
Laxmi Villas,Restaurant,"Camp, PMC","Fast Food, Veg",2026121482,
Ashvamegh Restaurant,Restaurant,"Narayan Peth, PMC","Chinese,Fast Food, Veg",2024480385,
Gokhale Hotel,Restaurant,"Alandi-Devachi, PCMC","Maharashtrian, Veg",2027185108,9422505553
Billi's Food Corner,Restaurant,"Camp, PMC","North Indian, Veg",2026340814,9921229122
Guru Datta Hotel,Restaurant,"Karve Nagar, PMC","Fast Food, Veg",2025452077,
Hotel Mayuresh,Restaurant,"Parvati gaon, PMC","Snacks, Veg",9822878289,
UpSouth,Restaurant,"Hadapsar, PMC","South Indian, Veg",2065331155,8600799956
Anandi Restaurant,Restaurant,"Manik Baug, PMC","Maharashtrian, Veg",2024354900,
Satkar Restaurant,Restaurant,"Shivaji Nagar, PMC","Outdoor Seating,  Indian, Multi-cuisine, Veg",2025536978,
Suvarnarekha Restaurant,Restaurant,"Prabhat Road, PMC","Maharashtrian, Veg",2025431922,
Hotel Atharva,Restaurant,"Chakan, PCMC","South Indian, Veg",2135667876,9822902626
New Refreshment House,Restaurant,"Sadashiv Peth, PMC","Maharashtrian, Veg",2024333856,
Ruchi Restaurant,Restaurant,"Karve Nagar, PMC","South Indian, Veg",2025453300,9890951578
Hotel Shivganga,Restaurant,"Panmala, PMC","Idlis And Dosas,Snacks, Veg",2024329922,
Ganesh Restaurant,Restaurant,"Dapodi, PCMC","South Indian, Veg",2027144202,
Krishna Hotel,Restaurant,"Chinchwad, PCMC","Punjabi, Veg",9860637970,
Potoba Pure-Veg,Restaurant,"Kothrud, PMC","Thali, Veg",9922417510,
Chandar Vilas Upahar Gruha,Restaurant,"Sadashiv Peth, PMC","Maharashtrian, Veg",2024436361,
Hotel Darshan,Restaurant,"Deccan Gymkhana, PMC","Multi-cuisine, Veg, Sodexo,Ticket Restaurant",2025673671,
Mathura Restaurant,Restaurant,"Deccan Gymkhana, PMC","Maharashtrian, Veg",2025531975,9822068407
Hotel Roopa,Restaurant,"Parvati, PMC","Multi-cuisine, South Indian, Veg",2069467001,
Ayyers Restaurant,Restaurant,"Nibm, PMC","South Indian, Veg, Sodexo",2040052483,9325577282
Bombay Bytes,Restaurant,"Baner road, PMC","Fast Food, Veg, Sodexo,Ticket Restaurant",9158998292,
Lai Bhari Kolapuri,Restaurant,"Chinchwad, PMC","Kolhapuri, Non-Veg",7276724713,
Kamath Family Restaurant,Restaurant,"Kothrud, PMC","South Indian, Veg, Sodexo,Ticket Restaurant",2025425800,
Chaitanya Restaurant,Restaurant,"Shivaji Nagar, PMC","Outdoor Seating,  Indian, Non-Veg, Sodexo",9637740068,
Amol Restaurant,Restaurant,"Dhayari, PMC","Maharashtrian, Veg",2024394872,
Jyoti Family Restaurant,Restaurant,"Hinjewadi, PMC","Multi-cuisine, Punjabi, Non-Veg",9881671917,
Hotel Kedar,Restaurant,"Ghole Road, PMC","Maharashtrian, Veg",2025532321,
Kuku Da Paratha,Restaurant,"Dhole Patil Road, PMC","Outdoor Seating,  Punjabi, Veg, Sodexo",2026120787,9881445522
Sagar Restaurant,Restaurant,"Camp, PMC","South Indian, Veg",2026126452,
Rasoi Se,Restaurant,"Nigdi, PMC","Chinese, Indian, Multi-Cuisine, Punjabi, Veg",2027655154,9921030909
Red Chillis,Restaurant,"Kharadi, PMC","Chinese, Continental, Veg",2026851502,9763656631
Hotel Shreekalp,Restaurant,"Shivaji Nagar, PMC","Multi-cuisine, Veg",2025539517,
Amore Italia Restaurant,Restaurant,"Yerawada, PMC","North Indian, Veg",2032329980,9890007457
Hotel Chandrakant,Restaurant,"Kothrud, PMC","Maharashtrian, Veg",2025283241,
Potoba,Restaurant,"Sahakar Nagar, PMC","Chinese,Desserts And Ice Cream,Gujarati,Indian",2024203018,
Ideal Restaurant,Restaurant,"Swar Gate, PMC","Maharashtrian, Veg",2024441709,
Indraprasth Hotel,Restaurant,"Alandi-Devachi, PCMC","Maharashtrian, Veg",2135327921,9822282149
Hotel Suraj,Restaurant,"Vishrantwadi, PMC","Indian, Non-Veg",9765676967,
Maharashtra Bhavan,Restaurant,"Daund, PMC","Maharashtrian, Veg",2117262935,9423023135
Purva Restaurant,Restaurant,"Sadashiv Peth, PMC","Punjabi, Veg",2024321760,
Jai Maharashtra Pani Puri,Restaurant,"Kasba peth, PMC","Fast Food, Veg",9370699180,
Hotel Anishwar Bhuvan,Restaurant,"Ane, PMC","South Indian, Veg",2132275315,
Nutan Fast Food,Restaurant,"Bund Garden Road, PMC","Fast Food, Veg",9326033195,
Aarti Restaurant,Restaurant,"Gokhale Nagar, PMC","Indian, Veg",2025660406,
Hotel Hari Om,Restaurant,"Chinchwad, PCMC","Punjabi, Veg",2027469081,
Hotel Mahesh Pure Veg,Restaurant,"Market Yard, PMC","South Indian, Veg",2024267688,
Shiv Shakti Pure Veg,Restaurant,"Gokhale Nagar, PMC","South Indian, Veg",2025664635,
Soham Food Zone,Restaurant,"Jangali Maharaj Road, PMC","Maharashtrian, Veg",2025532702,
Shridutta Bhavan Hotel,Restaurant,"Alandi-Devachi, PCMC","Snacks, Veg",2027185717,
Atithi Restaurant,Restaurant,"Deccan Gymkhana, PMC","Maharashtrian, Veg",2025532029,
Damodar P30,Restaurant,"Bibwewadi, PMC","Maharashtrian, Snacks, Veg",7798230828,
Shri Shivaji Chitra Mandir Canteen,Restaurant,"Talegaon Dabhade, PMC","Snacks, Veg",2114226874,
Hotel Varshasagar,Restaurant,"Kothrud, PMC","Snacks, Veg",2025451704,
Nandu's Paranthas,Restaurant,"Dhole Patil Road, PMC","Punjabi, Veg",2026054366,
Shri Datta Restaurant,Restaurant,"Haveli, PMC","Snacks, Veg",2026928485,
Siddarth Veg Restaurant,Restaurant,"Camp, PMC","Indian,Multi-Cuisine, Veg",2026131120,
Gipssy Hotel,Restaurant,"Karve Nagar, PMC","Punjabi, Veg",9371730445,
Maharashtra Restaurant,Restaurant,"Pimpri, PCMC","Maharashtrian, Veg",2060300056,
Geeta Pav Bhaji,Restaurant,"Nigdi, PCMC","Snacks, Veg",2027656882,
Chetak Restaurant,Restaurant,"Budhwar Peth, PMC","Snacks, Veg",2026874339,9850494849
Karachi Lunch Home,Restaurant,"Budhwar Peth, PMC","Maharashtrian, Veg",2024486494,
