Name,=+971 4 4225666,callmodalpad,Number,Address,Number2
Cultures,97143418111,#ERROR!,97143418111,,
Pizzaro,#ERROR!,#ERROR!,97144225666,,
Applebee'sRestaurants,,#ERROR!,97143437755,,
SwadistRestaurant,#ERROR!,#ERROR!,97143342920,,
SafarRestaurants,#ERROR!,#ERROR!,97142244000,,
KamatRestaurant,#ERROR!,#ERROR!,97143598444,,
Joshi&PartnersRestaurant,#ERROR!,#ERROR!,97143525817,,
RangoliVegetarianRestaurant,#ERROR!,#ERROR!,97143515873,,
VandanaRestaurant,#ERROR!,#ERROR!,97143315346,,
VenusRestaurants,#ERROR!,#ERROR!,97143352113,,
ChatoriGali,#ERROR!,#ERROR!,97143578484,,
SaiUttarDakshin,#ERROR!,#ERROR!,97142234433,,
Mr.Chaat,#ERROR!,#ERROR!,97143707040,,
IndiaHouseVegetarianRestaurant,#ERROR!,#ERROR!,97143526006,,
AjantaRestaurant,#ERROR!,#ERROR!,97143345406,,
BangaloreEmpireRestaurant(LLC),#ERROR!,#ERROR!,97142611433,,
Mithaas,#ERROR!,#ERROR!,97143966942,,
ParsIranianRestaurants,#ERROR!,#ERROR!,97143984000,,
JordanaRestaurantsLLC,#ERROR!,#ERROR!,97143247324,,
VaibhavRestaurant,#ERROR!,#ERROR!,97143538130,,
ChinesePalaceRestaurant,#ERROR!,#ERROR!,97142845452,,
CurryLeaf,#ERROR!,#ERROR!,97143978940,,
SaravanaaBhavanRestaurant,#ERROR!,#ERROR!,97142653464,,
DosaPlaza,#ERROR!,#ERROR!,97143963110,,
Zest,#ERROR!,#ERROR!,97143685460,,
ChinChin,#ERROR!,#ERROR!,97142885325,,
RiceCreamery,#ERROR!,#ERROR!,97143444553,,
KamatRestaurant,#ERROR!,#ERROR!,97143598444,,
SabirRestaurant,#ERROR!,#ERROR!,97142225163,,
VenusHambaRestaurant,#ERROR!,#ERROR!,97142617383,,
WoodlandsRestaurant,#ERROR!,#ERROR!,97143370253,,
SuryaRestaurant,#ERROR!,#ERROR!,97142678080,,
SangeethaRestaurantLLC,#ERROR!,#ERROR!,97142610082,,
MithasRestaurant,#ERROR!,#ERROR!,97143591300,,
EvergreenRestaurant,#ERROR!,#ERROR!,97143535465,,
TOMO,#ERROR!,#ERROR!,97143149888,,
YummieTummieRestaurant,#ERROR!,#ERROR!,97143576643,,
HoneyzFastFood,#ERROR!,#ERROR!,97143536906,,
JustFalafel,#ERROR!,#ERROR!,97142559099,,
KusinaNiNanay,#ERROR!,#ERROR!,97144508420,,
GolestanRestaurant,#ERROR!,#ERROR!,97142828007,,
CapriItaly,#ERROR!,#ERROR!,97143314505,,
Hatam,#ERROR!,#ERROR!,97143669988,,
ChinesePalaceRestaurant,#ERROR!,#ERROR!,97142845452,,
SaravanaaBhavanRestaurant,#ERROR!,#ERROR!,97142653464,,
SaravanaaBhavanRestaurant,#ERROR!,#ERROR!,97143374676,,
RadheORadheRestaurant,#ERROR!,#ERROR!,97143365339,,
AlBarahaStarRestaurant,#ERROR!,#ERROR!,97142733122,,
SaravanaaBhavanRestaurant,#ERROR!,#ERROR!,97143345252,,
AlIthifaqRestaurant,#ERROR!,#ERROR!,97142268296,,
RiceCreamery,#ERROR!,#ERROR!,97143444553,,
VandanaRestaurant,#ERROR!,#ERROR!,97143315346,,
NajdRestaurantforMandiAndMadhbi,#ERROR!,#ERROR!,97142737330,,
MithasRestaurant,#ERROR!,#ERROR!,97143591300,,
TOMO,#ERROR!,#ERROR!,97143149888,,
AlMandaloun,#ERROR!,#ERROR!,97143637474,,
Parathaking,#ERROR!,#ERROR!,97143515121,,
SpicesGardenCafe,#ERROR!,#ERROR!,97143510195,,
JustFalafel,#ERROR!,#ERROR!,97142559099,,
KusinaNiNanay,#ERROR!,#ERROR!,97144508420,,
Hatam,#ERROR!,#ERROR!,97143669988,,
CurryLeaf,#ERROR!,#ERROR!,97143978940,,
Danial,#ERROR!,#ERROR!,97142222102,,
Hatam,#ERROR!,#ERROR!,97142804005,,
AjantaVegetarianRestaurant,#ERROR!,#ERROR!,97143371585,,
SaravanaaBhavanRestaurant,#ERROR!,#ERROR!,97142387022,,
Zest,#ERROR!,#ERROR!,97143685460,,
PuranmalRestaurant,#ERROR!,#ERROR!,97143937702,,
ChinChin,#ERROR!,#ERROR!,97142885325,,
RiceCreamery,#ERROR!,#ERROR!,97143444553,,
TheCavendishRestaurant,#ERROR!,#ERROR!,97143560533,,
VenusHambaRestaurant,#ERROR!,#ERROR!,97142617383,,
CanaraRestaurant,#ERROR!,#ERROR!,97143963966,,
NasoohRestaurant,#ERROR!,#ERROR!,97142722630,,
NewSeasonsRestaurant,#ERROR!,#ERROR!,97142955583,,
TOMO,#ERROR!,#ERROR!,97143149888,,
AlMandaloun,#ERROR!,#ERROR!,97143637474,,
HoneyzFastFood,#ERROR!,#ERROR!,97143536906,,
ParathaKing,#ERROR!,#ERROR!,97144456977,,
JustFalafel,#ERROR!,#ERROR!,97142559099,,
CapriItaly,#ERROR!,#ERROR!,97143314505,,
PompeiiMiniMart&Restaurant,#ERROR!,#ERROR!,97143697746,,
AappaKadaiRestaurant,#ERROR!,#ERROR!,97143348030,,
RadheORadheRestaurant,#ERROR!,#ERROR!,97143365339,,
SaravanaaBhavanRestaurant,#ERROR!,#ERROR!,97143345252,,
Zest,#ERROR!,#ERROR!,97143685460,,
Yuan,#ERROR!,#ERROR!,97144262626,,
SoumSoum,#ERROR!,#ERROR!,97143686366,,
SabirRestaurant,#ERROR!,#ERROR!,97142225163,,
Amby'sRestaurantAndGrill,#ERROR!,#ERROR!,97143939444,,
NewEzziRestaurant,#ERROR!,#ERROR!,97142663334,,
Hatam,#ERROR!,#ERROR!,97143955595,,
ImdadRestaurant&Sweets,#ERROR!,#ERROR!,97142733177,,
ShahranRestaurant,#ERROR!,#ERROR!,97142838866,,
EvergreenRestaurant,#ERROR!,#ERROR!,97143535465,,
ProsperityRestaurant,#ERROR!,#ERROR!,97143536165,,
NewSeasonsRestaurant,#ERROR!,#ERROR!,97142955583,,
AlMandaloun,#ERROR!,#ERROR!,97143637474,,
DowntownSportsAndGrill,#ERROR!,#ERROR!,97142270000,,
AappaKadai,#ERROR!,553164455,553164455,,
PandaChineseRestaurant,#ERROR!,#ERROR!,97144255934,,
TheRoyalExpress,#ERROR!,#ERROR!,97143935333,,
Yuan,#ERROR!,#ERROR!,97144262626,,
KrispyKreme,#ERROR!,#ERROR!,97143397728,,
SoumSoum,#ERROR!,#ERROR!,97143686366,,
BarefootLounge,#ERROR!,#ERROR!,97143461111,,
AmaravathiRestaurant,#ERROR!,#ERROR!,97143377077,,
AdarshRestaurant,#ERROR!,#ERROR!,97143534218,,
